time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 23:54:7.604	WTyyyy(CC4B99849B02)	0.078	-0.079	-0.950	-7.996	11.292	-265.381	177.69	-2.04	68.12	-3.700	-27.525	21.925	-0.00665	-0.80481	-0.59274	-0.02792	22.9	10080.1.3	100
2025-3-13 23:54:7.694	WTyyyy(CC4B99849B02)	0.075	-0.048	-0.923	5.920	2.991	-58.350	177.73	-2.33	83.19	-3.700	-27.525	21.925	-0.00665	-0.80481	-0.59274	-0.02792	22.9	10080.1.3	100
2025-3-13 23:54:7.814	WTyyyy(CC4B99849B02)	0.111	-0.055	-0.911	-2.380	5.676	158.081	178.38	-3.32	76.79	24.700	-14.242	21.783	-0.00665	-0.80481	-0.59274	-0.02792	22.9	10080.1.3	100
2025-3-13 23:54:7.874	WTyyyy(CC4B99849B02)	0.156	-0.088	-0.903	3.357	-10.742	355.713	-179.79	-3.31	49.39	24.700	-14.242	21.783	-0.00665	-0.80481	-0.59274	-0.02792	22.9	10080.1.3	100
2025-3-13 23:54:8.24	WTyyyy(CC4B99849B02)	0.184	-0.089	-0.917	9.460	-16.663	509.155	-176.68	-0.82	5.55	24.700	-14.242	21.783	0.03027	-0.99948	-0.00452	-0.00336	22.9	10080.1.3	100
2025-3-13 23:54:8.84	WTyyyy(CC4B99849B02)	0.203	-0.108	-0.936	8.606	-6.958	598.267	-176.94	2.93	-48.57	24.700	-14.242	21.783	0.03027	-0.99948	-0.00452	-0.00336	22.9	10080.1.3	100
2025-3-13 23:54:8.204	WTyyyy(CC4B99849B02)	0.190	-0.088	-0.958	0.427	-2.686	610.413	179.83	4.77	-106.25	-12.492	-7.750	22.375	0.03027	-0.99948	-0.00452	-0.00336	22.9	10080.1.3	100
2025-3-13 23:54:8.294	WTyyyy(CC4B99849B02)	0.163	-0.075	-0.996	8.545	-12.512	540.222	176.97	3.12	-160.41	-12.492	-7.750	22.375	0.03027	-0.99948	-0.00452	-0.00336	22.9	10080.1.3	100
2025-3-13 23:54:8.415	WTyyyy(CC4B99849B02)	0.133	-0.031	-1.029	12.695	-15.320	402.100	176.74	0.80	150.86	-12.492	-7.750	22.375	0.01254	0.33069	0.94330	0.02356	22.9	10080.1.3	100
2025-3-13 23:54:8.538	WTyyyy(CC4B99849B02)	0.125	0.002	-1.055	7.507	-2.380	207.214	177.82	-0.52	120.17	-12.492	-7.750	22.375	0.01254	0.33069	0.94330	0.02356	22.9	10080.1.3	100
2025-3-13 23:54:8.625	WTyyyy(CC4B99849B02)	0.143	0.009	-1.076	-7.935	-5.676	-59.448	178.21	-0.82	111.51	24.025	-1.483	22.342	0.01254	0.33069	0.94330	0.02356	22.9	10080.1.3	100
2025-3-13 23:54:8.684	WTyyyy(CC4B99849B02)	0.169	-0.000	-1.083	0.244	2.441	-279.785	177.91	-0.49	125.89	24.025	-1.483	22.342	0.01254	0.33069	0.94330	0.02356	22.9	10080.1.3	100
2025-3-13 23:54:8.804	WTyyyy(CC4B99849B02)	0.195	-0.040	-1.083	-13.367	10.010	-462.463	177.23	-0.27	160.06	24.025	-1.483	22.342	0.00174	0.13562	0.99039	0.02545	22.9	10080.1.3	100
2025-3-13 23:54:8.894	WTyyyy(CC4B99849B02)	0.211	-0.080	-1.057	-0.122	7.202	-589.294	176.97	1.19	-150.37	24.025	-1.483	22.342	0.00174	0.13562	0.99039	0.02545	22.9	10080.1.3	100
2025-3-13 23:54:9.14	WTyyyy(CC4B99849B02)	0.184	-0.116	-1.036	-19.043	12.939	-636.902	178.37	1.94	-87.87	-13.633	-11.758	22.092	0.00174	0.13562	0.99039	0.02545	22.9	10080.1.3	100
2025-3-13 23:54:9.105	WTyyyy(CC4B99849B02)	0.143	-0.109	-0.999	2.319	14.221	-603.455	-179.66	0.92	-23.26	-13.633	-11.758	22.092	0.00174	0.13562	0.99039	0.02545	22.9	10080.1.3	100
